TIME: 27956815000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27956825000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27956835000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27957375000 | RAM WRITE | Addr: 21 <= Data: 21
TIME: 27957385000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 27957395000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 27957405000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 27985535000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27985545000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27985555000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27986105000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 27986115000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 27986125000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28014255000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 28014265000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 28014275000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 28014805000 | RAM WRITE | Addr: 22 <= Data: 22
TIME: 28014815000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28014825000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28014835000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28014845000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28042975000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 28042985000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 28042995000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 28043535000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28043545000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28043555000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28043565000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28071695000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 28071705000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 28071715000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 28072235000 | RAM WRITE | Addr: 23 <= Data: 23
TIME: 28072245000 | RAM WRITE | Addr: 23 <= Data: 22
TIME: 28072255000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28072265000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28072275000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28072285000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28100415000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 28100425000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 28100435000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 28100945000 | RAM WRITE | Addr: 24 <= Data: 24
TIME: 28100955000 | RAM WRITE | Addr: 24 <= Data: 23
TIME: 28100965000 | RAM WRITE | Addr: 23 <= Data: 22
TIME: 28100975000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28100985000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28100995000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28101005000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28129135000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 28129145000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 28129155000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 28129675000 | RAM WRITE | Addr: 24 <= Data: 23
TIME: 28129685000 | RAM WRITE | Addr: 23 <= Data: 22
TIME: 28129695000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28129705000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28129715000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28129725000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28157865000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 28157875000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 28158375000 | RAM WRITE | Addr: 25 <= Data: 25
TIME: 28158385000 | RAM WRITE | Addr: 25 <= Data: 24
TIME: 28158395000 | RAM WRITE | Addr: 24 <= Data: 23
TIME: 28158405000 | RAM WRITE | Addr: 23 <= Data: 22
TIME: 28158415000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28158425000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28158435000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28158445000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28187085000 | RAM WRITE | Addr: 26 <= Data: 26
TIME: 28187095000 | RAM WRITE | Addr: 26 <= Data: 25
TIME: 28187105000 | RAM WRITE | Addr: 25 <= Data: 24
TIME: 28187115000 | RAM WRITE | Addr: 24 <= Data: 23
TIME: 28187125000 | RAM WRITE | Addr: 23 <= Data: 22
TIME: 28187135000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28187145000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28187155000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28187165000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28215795000 | RAM WRITE | Addr: 27 <= Data: 27
TIME: 28215805000 | RAM WRITE | Addr: 27 <= Data: 26
TIME: 28215815000 | RAM WRITE | Addr: 26 <= Data: 25
TIME: 28215825000 | RAM WRITE | Addr: 25 <= Data: 24
TIME: 28215835000 | RAM WRITE | Addr: 24 <= Data: 23
TIME: 28215845000 | RAM WRITE | Addr: 23 <= Data: 22
TIME: 28215855000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28215865000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28215875000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28215885000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28244525000 | RAM WRITE | Addr: 27 <= Data: 26
TIME: 28244535000 | RAM WRITE | Addr: 26 <= Data: 25
TIME: 28244545000 | RAM WRITE | Addr: 25 <= Data: 24
TIME: 28244555000 | RAM WRITE | Addr: 24 <= Data: 23
TIME: 28244565000 | RAM WRITE | Addr: 23 <= Data: 22
TIME: 28244575000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28244585000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28244595000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28244605000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28273215000 | RAM WRITE | Addr: 28 <= Data: 28
TIME: 28273235000 | RAM WRITE | Addr: 28 <= Data: 27
TIME: 28273245000 | RAM WRITE | Addr: 27 <= Data: 26
TIME: 28273255000 | RAM WRITE | Addr: 26 <= Data: 25
TIME: 28273265000 | RAM WRITE | Addr: 25 <= Data: 24
TIME: 28273275000 | RAM WRITE | Addr: 24 <= Data: 23
TIME: 28273285000 | RAM WRITE | Addr: 23 <= Data: 22
TIME: 28273295000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28273305000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28273315000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28273325000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28301925000 | RAM WRITE | Addr: 29 <= Data: 29
TIME: 28301935000 | RAM WRITE | Addr: 29 <= Data: 28
TIME: 28301955000 | RAM WRITE | Addr: 28 <= Data: 27
TIME: 28301965000 | RAM WRITE | Addr: 27 <= Data: 26
TIME: 28301975000 | RAM WRITE | Addr: 26 <= Data: 25
TIME: 28301985000 | RAM WRITE | Addr: 25 <= Data: 24
TIME: 28301995000 | RAM WRITE | Addr: 24 <= Data: 23
TIME: 28302005000 | RAM WRITE | Addr: 23 <= Data: 22
TIME: 28302015000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28302025000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28302035000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28302045000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28330635000 | RAM WRITE | Addr: 30 <= Data: 30
TIME: 28330645000 | RAM WRITE | Addr: 30 <= Data: 29
TIME: 28330655000 | RAM WRITE | Addr: 29 <= Data: 28
TIME: 28330675000 | RAM WRITE | Addr: 28 <= Data: 27
TIME: 28330685000 | RAM WRITE | Addr: 27 <= Data: 26
TIME: 28330695000 | RAM WRITE | Addr: 26 <= Data: 25
TIME: 28330705000 | RAM WRITE | Addr: 25 <= Data: 24
TIME: 28330715000 | RAM WRITE | Addr: 24 <= Data: 23
TIME: 28330725000 | RAM WRITE | Addr: 23 <= Data: 22
TIME: 28330735000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28330745000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28330755000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28330765000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28359345000 | RAM WRITE | Addr: 31 <= Data: 31
TIME: 28359355000 | RAM WRITE | Addr: 31 <= Data: 30
TIME: 28359365000 | RAM WRITE | Addr: 30 <= Data: 29
TIME: 28359375000 | RAM WRITE | Addr: 29 <= Data: 28
TIME: 28359395000 | RAM WRITE | Addr: 28 <= Data: 27
TIME: 28359405000 | RAM WRITE | Addr: 27 <= Data: 26
TIME: 28359415000 | RAM WRITE | Addr: 26 <= Data: 25
TIME: 28359425000 | RAM WRITE | Addr: 25 <= Data: 24
TIME: 28359435000 | RAM WRITE | Addr: 24 <= Data: 23
TIME: 28359445000 | RAM WRITE | Addr: 23 <= Data: 22
TIME: 28359455000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28359465000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28359475000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28359485000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28388075000 | RAM WRITE | Addr: 31 <= Data: 30
TIME: 28388085000 | RAM WRITE | Addr: 30 <= Data: 29
TIME: 28388095000 | RAM WRITE | Addr: 29 <= Data: 28
TIME: 28388115000 | RAM WRITE | Addr: 28 <= Data: 27
TIME: 28388125000 | RAM WRITE | Addr: 27 <= Data: 26
TIME: 28388135000 | RAM WRITE | Addr: 26 <= Data: 25
TIME: 28388145000 | RAM WRITE | Addr: 25 <= Data: 24
TIME: 28388155000 | RAM WRITE | Addr: 24 <= Data: 23
TIME: 28388165000 | RAM WRITE | Addr: 23 <= Data: 22
TIME: 28388175000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28388185000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28388195000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28388205000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28416795000 | RAM WRITE | Addr: 31 <= Data: 30
TIME: 28416805000 | RAM WRITE | Addr: 30 <= Data: 29
TIME: 28416815000 | RAM WRITE | Addr: 29 <= Data: 28
TIME: 28416835000 | RAM WRITE | Addr: 28 <= Data: 27
TIME: 28416845000 | RAM WRITE | Addr: 27 <= Data: 26
TIME: 28416855000 | RAM WRITE | Addr: 26 <= Data: 25
TIME: 28416865000 | RAM WRITE | Addr: 25 <= Data: 24
TIME: 28416875000 | RAM WRITE | Addr: 24 <= Data: 23
TIME: 28416885000 | RAM WRITE | Addr: 23 <= Data: 22
TIME: 28416895000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28416905000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28416915000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28416925000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28445495000 | RAM WRITE | Addr: 32 <= Data: 32
TIME: 28445505000 | RAM WRITE | Addr: 32 <= Data: 31
TIME: 28445515000 | RAM WRITE | Addr: 31 <= Data: 30
TIME: 28445525000 | RAM WRITE | Addr: 30 <= Data: 29
TIME: 28445535000 | RAM WRITE | Addr: 29 <= Data: 28
TIME: 28445555000 | RAM WRITE | Addr: 28 <= Data: 27
TIME: 28445565000 | RAM WRITE | Addr: 27 <= Data: 26
TIME: 28445575000 | RAM WRITE | Addr: 26 <= Data: 25
TIME: 28445585000 | RAM WRITE | Addr: 25 <= Data: 24
TIME: 28445595000 | RAM WRITE | Addr: 24 <= Data: 23
TIME: 28445605000 | RAM WRITE | Addr: 23 <= Data: 22
TIME: 28445615000 | RAM WRITE | Addr: 22 <= Data: 21
TIME: 28445625000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 28445635000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 28445645000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 28474215000 | RAM WRITE | Addr: 32 <= Data: 12
TIME: 28474225000 | RAM WRITE | Addr: 31 <= Data: 12
TIME: 28474235000 | RAM WRITE | Addr: 30 <= Data: 12
TIME: 28474245000 | RAM WRITE | Addr: 29 <= Data: 12
TIME: 28474255000 | RAM WRITE | Addr: 28 <= Data: 12
TIME: 28474265000 | RAM WRITE | Addr: 28 <= Data: 12
TIME: 28474275000 | RAM WRITE | Addr: 27 <= Data: 12
TIME: 28474285000 | RAM WRITE | Addr: 26 <= Data: 12
TIME: 28474295000 | RAM WRITE | Addr: 25 <= Data: 12
